bird_id,event_id,start_lat,start_lon,end_lat,end_lon,displacement_km,total_distance_km,route_tortuosity,max_dist_from_breeding_km,bearing_mean,bearing_std,duration_days,start_month,end_month,start_doy,end_doy,avg_daily_distance_km,movement_hour_mode,avg_speed_ms,max_speed_ms,speed_std,n_gps_fixes,fix_rate_per_day,heading_consistency,avg_temperature,temp_std,min_temperature,max_temperature,avg_battery_v,min_battery_v,battery_depletion_rate,avg_horiz_accuracy,avg_time_to_fix,avg_altitude_m,max_altitude_m,min_altitude_m,altitude_range_m,altitude_std,n_rest_stops,avg_rest_duration_hrs,movement_consistency_ratio,long_flight_segments,max_consecutive_movement_hrs,Migration_Success
GREG_18,0,38.4299564,-122.8295155,38.3043443,-122.7073383,17.565518647929554,120.64138559733247,6.868079902186802,47.128193459820004,12.28806977566912,113.12108062149291,43.28819444444444,8,9,219,262,2.7869350326487328,23.0,0.4833746355685132,18.02,1.243641142908557,2755,63.643218095772845,0.502914745450777,32.224489795918366,8.783948554061904,19.0,58.0,3988.2206896551725,3864.0,-2.102189781021898,13.437412536443146,13.955539358600584,-12.635349854227405,706.5,-248.0,954.5,28.456681401602722,317,3.3785488958990535,0.21814882032667876,46,9.5,1
GREG_18,1,38.2146145,-122.4988219,38.301861,-122.4268546,11.5586111339376,138.95004999083295,12.021344812168424,42.47711381111814,19.75941451056507,108.28100796462736,30.32326388888889,9,10,265,296,4.582292015133216,23.0,0.5459506398537477,16.16,1.2288080184340666,2190,72.2217769177039,0.38998753887388937,29.80804387568556,8.274480201240804,18.0,57.0,3978.805479452055,3870.0,0.7914715278652483,17.922952468007313,16.73217550274223,42.84191042047532,456.3,-114.2,570.5,34.7038369551867,330,2.4272727272727272,0.26118721461187216,39,6.0,1
GREG_20,0,38.1844108,-122.1284131,38.2386035,-122.0347206,10.164668735373564,56.29649979379037,5.538449039453267,67.50601289162618,10.00594599678878,110.21100788515211,14.228518518518518,9,9,246,260,3.956596023719551,1.0,0.4391510365251728,20.58,1.0541846173240152,1015,71.33560663248042,0.44243647494247923,32.554787759131294,9.440902582931537,20.0,61.0,3986.968472906404,3956.0,-0.9136580159825077,16.686781836130304,14.944718657453109,-24.877887462981242,549.3,-267.5,816.8,36.60536695621532,137,2.897810218978102,0.21379310344827587,13,3.5,1
GREG_21,0,38.0205207,-122.0926999,37.396567,-121.0468007,115.23340598326118,203.64793216855804,1.767264713134835,165.54759579171872,26.119282504157276,102.88302809666216,9.315868055555555,9,9,257,267,21.860328093323712,15.0,1.046254876462939,16.27,2.518201143168155,771,82.76201373850621,0.4605424721888552,33.33810143042913,9.211638756390752,21.0,56.0,3983.495460440986,3928.0,-0.1073437272872973,15.255695708712615,13.599479843953185,-9.235110533159949,887.9,-225.3,1113.2,63.60968332353431,109,2.4724770642201834,0.2918287937743191,16,6.0,1
GREG_22,0,38.0198885,-122.0968873,38.0454238,-122.0308389,6.444043868617312,135.92865647478408,21.09368887706689,63.23146560565378,4.8585949150401095,103.09235669005292,45.25282407407408,9,10,257,302,3.0037607432473887,21.0,0.30124810318664647,11.41,0.7791004382495567,2672,59.04603866548128,0.5582215453694107,28.910470409711685,8.707972987711997,14.0,58.0,3980.256736526946,3668.0,5.767595842698583,9.718493930197267,12.54742033383915,-31.654704097116845,427.2,-1043.1,1470.3,38.00055023904631,196,5.969387755102041,0.12238023952095808,22,9.5,1
GREG_3,0,38.156327,-122.4255272,38.1204196,-122.3985921,4.635837917885227,3990.1297130325606,860.7138091775165,155.51590474476163,20.584086792632576,112.76592277754861,242.20486109953706,8,4,227,104,16.474193354000306,14.0,0.565526031507877,25.2,1.394408468304319,66654,275.19678877381295,0.3985554850944586,10.88132033008252,9.097194610365094,-11.0,52.0,3926.3874636180876,3712.0,0.024772417749015476,10.610492123030756,7.826601650412603,12.562265566391599,2292.5,-763.9,3056.4,41.875047573285784,7386,3.445437313836989,0.23162900951180723,1433,20.0,1
GREG_4,0,38.1442414,-122.391729,36.6757553,-120.3148053,245.57473847807884,2602.715404043277,10.598465543212246,436.8294995874452,15.749715244237589,114.5563909402238,135.46806712962962,6,10,156,291,19.212759576415408,13.0,0.669802371541502,21.89,1.9210717472599415,24076,177.7245406252208,0.3532576163756288,15.96525899729561,10.291676973723055,-9.0,50.0,3910.3680428642633,3820.0,0.3395634187057716,8.793000624089869,7.572997711670481,27.9035157062617,2822.8,-861.2,3684.0,67.09747407627412,2376,3.9471801346801345,0.21490280777537796,503,11.0,0
GREG_5,0,37.81706,-122.4994777,37.9131065,-122.4358864,12.05079981460047,94.10362130141893,7.808910839876798,57.33513995300198,356.65515582924394,126.51151667732769,1.7916666666666667,7,7,204,206,52.52295142404777,10.0,0.957078431372549,15.93,2.6284152810601857,510,284.65116279069764,0.4227687869914596,13.990196078431373,7.442372049934792,0.0,35.0,3992.027450980392,3964.0,7.255813953488372,10.575313725490195,8.209803921568627,-24.137647058823532,207.5,-501.3,708.8,47.93546818762019,47,4.351063829787234,0.1980392156862745,10,7.0,1
GREG_5,1,37.8286499,-122.5209556,37.7644556,-122.2581856,24.166601525696976,2493.180550920666,103.16636984598775,58.14942711506693,15.399970072379068,114.5646120783036,145.85707175925927,8,12,217,362,17.093312794841534,2.0,0.5703499697214373,19.72,1.4002546191888503,39632,271.7180560529393,0.3588739959357699,13.336697618086395,5.83139566637661,-2.0,47.0,3958.319893015745,3702.0,1.8716953295935717,11.012930964876867,8.742632216390795,-22.48132317319338,817.0,-1044.6,1861.6,38.13843598850885,4570,3.29835886214442,0.2335991118288252,812,12.5,1
GREG_6,0,38.2760072,-122.8918498,38.2752987,-122.8932585,0.14604067183744593,7.208983213901365,49.36284613868044,30.403021687535137,12.753063287228905,117.12502115649761,1.2152777777777777,12,12,350,352,5.93196333029598,20.0,0.36782608695652175,5.15,0.6724280664502714,345,283.8857142857143,0.405340677324798,-0.8376811594202899,4.154330237670877,-8.0,15.0,3836.1391304347826,3823.0,21.394285714285715,12.31968115942029,11.457971014492754,-13.185797101449277,84.8,-118.8,203.6,15.401923430717646,29,4.862068965517241,0.17681159420289855,6,6.0,1
GREG_8,0,38.2495217,-122.9571594,38.2612758,-122.9398113,2.0006993709067284,239.27404012726583,119.5951993621238,54.418185678304475,37.181415391844546,102.22557075701852,9.975659722222222,8,8,216,226,23.985786082322793,6.0,0.6647595647595648,14.2,1.567937310230819,2849,285.5951465198278,0.3155942825554001,16.126009126009127,11.140474383782013,-1.0,47.0,3972.5535275535276,3919.0,0.30073199001736867,12.154464724464724,7.368550368550369,15.447034047034046,646.0,-494.1,1140.1,51.66591237856256,348,2.925287356321839,0.2783432783432783,84,10.5,1
GREG_8,1,38.2754466,-122.9113278,38.2613904,-122.9505646,3.765153417469402,59.58350461323485,15.824987193558114,36.442589350154726,18.184381702656758,108.76714029952491,2.878460648148148,8,8,230,233,20.69978085389765,2.0,0.5849634146341463,11.81,1.3525344088448197,820,284.8744868294605,0.4314528904964556,14.31829268292683,7.085723631146756,4.0,36.0,3969.508536585366,3947.0,6.948158215352696,12.85080487804878,8.652439024390244,33.03756097560976,195.6,-151.5,347.1,33.2419300501312,95,3.2578947368421054,0.23780487804878048,14,5.5,1
